Rank,Channel_Handle,Channel_ID,Subscribers,YouTube_Channel_URL
1,UCVrstuGnHjpUXr9G98wwKow,UCVrstuGnHjpUXr9G98wwKow,18000000,https://www.youtube.com/channel/UCVrstuGnHjpUXr9G98wwKow
2,UCDwbDyYQGQuLcyr0_gv1IeQ,UCDwbDyYQGQuLcyr0_gv1IeQ,13200000,https://www.youtube.com/channel/UCDwbDyYQGQuLcyr0_gv1IeQ
3,7SuYeZdCsHTUjqqoYqCFlA,7SuYeZdCsHTUjqqoYqCFlA,12800000,https://www.youtube.com/@7SuYeZdCsHTUjqqoYqCFlA
4,UCuvAFpR5uxoXF8G4OgKY0lQ,UCuvAFpR5uxoXF8G4OgKY0lQ,12200000,https://www.youtube.com/channel/UCuvAFpR5uxoXF8G4OgKY0lQ
5,UCl1LnoNA1n9axjoWXpB_Ykw,UCl1LnoNA1n9axjoWXpB_Ykw,10200000,https://www.youtube.com/channel/UCl1LnoNA1n9axjoWXpB_Ykw
6,UCLYk1Xi3siYdls8z1LYYGww,UCLYk1Xi3siYdls8z1LYYGww,9120000,https://www.youtube.com/channel/UCLYk1Xi3siYdls8z1LYYGww
7,UCbddwDDdHTFNZet0ITR_pBA,UCbddwDDdHTFNZet0ITR_pBA,8520000,https://www.youtube.com/channel/UCbddwDDdHTFNZet0ITR_pBA
8,UC7imkfj6c9QRQGPOsnwF7sA,UC7imkfj6c9QRQGPOsnwF7sA,7650000,https://www.youtube.com/channel/UC7imkfj6c9QRQGPOsnwF7sA
9,UCjxrFnMg_scE7fkw_Ip0_yA,UCjxrFnMg_scE7fkw_Ip0_yA,7290000,https://www.youtube.com/channel/UCjxrFnMg_scE7fkw_Ip0_yA
10,UCiooxHNLlcCbiJtsYv5K20Q,UCiooxHNLlcCbiJtsYv5K20Q,7250000,https://www.youtube.com/channel/UCiooxHNLlcCbiJtsYv5K20Q
11,UCGik0cO1eFQNJybGQ4pPCKg,UCGik0cO1eFQNJybGQ4pPCKg,7200000,https://www.youtube.com/channel/UCGik0cO1eFQNJybGQ4pPCKg
12,-MSHwNBgzO9VC-Y9MY0aNg,-MSHwNBgzO9VC-Y9MY0aNg,6880000,https://www.youtube.com/@-MSHwNBgzO9VC-Y9MY0aNg
13,66wtGNeMjrENiV9VKWTjTg,66wtGNeMjrENiV9VKWTjTg,6340000,https://www.youtube.com/@66wtGNeMjrENiV9VKWTjTg
14,UCd3PaZEcxNru29bA4--WL_A,UCd3PaZEcxNru29bA4--WL_A,6180000,https://www.youtube.com/channel/UCd3PaZEcxNru29bA4--WL_A
15,UCNCY2UClx99kCufHj7y74uw,UCNCY2UClx99kCufHj7y74uw,6040000,https://www.youtube.com/channel/UCNCY2UClx99kCufHj7y74uw
16,UC6kQz36SrAPMkpUkDxV3ftg,UC6kQz36SrAPMkpUkDxV3ftg,5830000,https://www.youtube.com/channel/UC6kQz36SrAPMkpUkDxV3ftg
17,8ebZ3FzHKJ8lKrPO0IsVzA,8ebZ3FzHKJ8lKrPO0IsVzA,5780000,https://www.youtube.com/@8ebZ3FzHKJ8lKrPO0IsVzA
18,UC08IIc1hsONtQpKEfPJ9d_A,UC08IIc1hsONtQpKEfPJ9d_A,5290000,https://www.youtube.com/channel/UC08IIc1hsONtQpKEfPJ9d_A
19,UC4wI0bNpRBauwbKgRaQyTVQ,UC4wI0bNpRBauwbKgRaQyTVQ,5260000,https://www.youtube.com/channel/UC4wI0bNpRBauwbKgRaQyTVQ
20,n-gi2GE2xjJacr4b_baC1Q,n-gi2GE2xjJacr4b_baC1Q,5100000,https://www.youtube.com/@n-gi2GE2xjJacr4b_baC1Q
21,UCS5hmRlKBfQ0dTP8qafbLQA,UCS5hmRlKBfQ0dTP8qafbLQA,5080000,https://www.youtube.com/channel/UCS5hmRlKBfQ0dTP8qafbLQA
22,UCx6kaIXjwz0vruWmsUPlHeA,UCx6kaIXjwz0vruWmsUPlHeA,5050000,https://www.youtube.com/channel/UCx6kaIXjwz0vruWmsUPlHeA
23,UCDsNnVDid7wBRDHWRmEETUg,UCDsNnVDid7wBRDHWRmEETUg,5020000,https://www.youtube.com/channel/UCDsNnVDid7wBRDHWRmEETUg
