Rank,Channel_Handle,Channel_ID,Subscribers,YouTube_Channel_URL
1,UCVRqK0tS3B8pVog1HwCR4pg,UCVRqK0tS3B8pVog1HwCR4pg,36800000,https://www.youtube.com/channel/UCVRqK0tS3B8pVog1HwCR4pg
2,UC-jHNWViReG6R_kJ6b45FdQ,UC-jHNWViReG6R_kJ6b45FdQ,13300000,https://www.youtube.com/channel/UC-jHNWViReG6R_kJ6b45FdQ
3,UCWGK2_WVaXWv-QrkgT9-KDw,UCWGK2_WVaXWv-QrkgT9-KDw,13100000,https://www.youtube.com/channel/UCWGK2_WVaXWv-QrkgT9-KDw
4,Shadowpriestok,Shadowpriestok,7970000,https://www.youtube.com/@Shadowpriestok
5,UCE4Nbxegzf6E-qlxKC0m6tw,UCE4Nbxegzf6E-qlxKC0m6tw,7550000,https://www.youtube.com/channel/UCE4Nbxegzf6E-qlxKC0m6tw
6,UCIhBYw9Hgl-SFWnvZGSWiTw,UCIhBYw9Hgl-SFWnvZGSWiTw,7550000,https://www.youtube.com/channel/UCIhBYw9Hgl-SFWnvZGSWiTw
7,UCFB5gNRBABCeH71wxBTdRBA,UCFB5gNRBABCeH71wxBTdRBA,6590000,https://www.youtube.com/channel/UCFB5gNRBABCeH71wxBTdRBA
8,UCvJ9QkDxMQE_-cjAxRI2HMQ,UCvJ9QkDxMQE_-cjAxRI2HMQ,6550000,https://www.youtube.com/channel/UCvJ9QkDxMQE_-cjAxRI2HMQ
9,UCagRwbYRuocVJXhkgGqzmmQ,UCagRwbYRuocVJXhkgGqzmmQ,6490000,https://www.youtube.com/channel/UCagRwbYRuocVJXhkgGqzmmQ
10,UCZtR0__GT0VcqMQih_ZSKzQ,UCZtR0__GT0VcqMQih_ZSKzQ,5950000,https://www.youtube.com/channel/UCZtR0__GT0VcqMQih_ZSKzQ
11,UCROzf_8fAYWETKw6IfEPVWg,UCROzf_8fAYWETKw6IfEPVWg,5440000,https://www.youtube.com/channel/UCROzf_8fAYWETKw6IfEPVWg
12,UCB5Isp0ZiEfvw8nz_qJR9aQ,UCB5Isp0ZiEfvw8nz_qJR9aQ,5400000,https://www.youtube.com/channel/UCB5Isp0ZiEfvw8nz_qJR9aQ
13,UCyMsiq_w3ZGwHgac5aro4YQ,UCyMsiq_w3ZGwHgac5aro4YQ,5400000,https://www.youtube.com/channel/UCyMsiq_w3ZGwHgac5aro4YQ
14,UCQTzJnAqWZwzH0GCp1hIsFg,UCQTzJnAqWZwzH0GCp1hIsFg,5210000,https://www.youtube.com/channel/UCQTzJnAqWZwzH0GCp1hIsFg
15,UC32AFn3ddAFtzEXzezk8VHg,UC32AFn3ddAFtzEXzezk8VHg,5120000,https://www.youtube.com/channel/UC32AFn3ddAFtzEXzezk8VHg
16,UCiE3TqG7v_bXZCYB_FaFvDw,UCiE3TqG7v_bXZCYB_FaFvDw,4500000,https://www.youtube.com/channel/UCiE3TqG7v_bXZCYB_FaFvDw
17,UCZVvxHrmbxsfkWm-g2Ol0eA,UCZVvxHrmbxsfkWm-g2Ol0eA,4440000,https://www.youtube.com/channel/UCZVvxHrmbxsfkWm-g2Ol0eA
18,UCjIXr3YErSO6Jlk6XdJlK5Q,UCjIXr3YErSO6Jlk6XdJlK5Q,4410000,https://www.youtube.com/channel/UCjIXr3YErSO6Jlk6XdJlK5Q
19,UCLgdjDGSZhJmXTkB_-E9_jA,UCLgdjDGSZhJmXTkB_-E9_jA,4220000,https://www.youtube.com/channel/UCLgdjDGSZhJmXTkB_-E9_jA
20,UCWVmpkRBgw_shBIbFEid4FQ,UCWVmpkRBgw_shBIbFEid4FQ,4130000,https://www.youtube.com/channel/UCWVmpkRBgw_shBIbFEid4FQ
21,UCOBmXp_2O09zqNR5qv2Qr-A,UCOBmXp_2O09zqNR5qv2Qr-A,3920000,https://www.youtube.com/channel/UCOBmXp_2O09zqNR5qv2Qr-A
22,UCzQfzGYmk66AB5rcswm63tA,UCzQfzGYmk66AB5rcswm63tA,3800000,https://www.youtube.com/channel/UCzQfzGYmk66AB5rcswm63tA
23,UCvHjVDqqOu7VeTuqBcgRziQ,UCvHjVDqqOu7VeTuqBcgRziQ,3750000,https://www.youtube.com/channel/UCvHjVDqqOu7VeTuqBcgRziQ
24,UCv0p7CsZP1ty391q2VOuY2w,UCv0p7CsZP1ty391q2VOuY2w,3660000,https://www.youtube.com/channel/UCv0p7CsZP1ty391q2VOuY2w
25,TheSevenChannel,TheSevenChannel,3610000,https://www.youtube.com/@TheSevenChannel
26,UCZB3t8MMQrG1LEYtF2bofCw,UCZB3t8MMQrG1LEYtF2bofCw,3610000,https://www.youtube.com/channel/UCZB3t8MMQrG1LEYtF2bofCw
27,UCfHPrVIc0QavHNRvCwugWbQ,UCfHPrVIc0QavHNRvCwugWbQ,3410000,https://www.youtube.com/channel/UCfHPrVIc0QavHNRvCwugWbQ
28,UCg7YNHS1ld_LBCupWa1I_AQ,UCg7YNHS1ld_LBCupWa1I_AQ,3400000,https://www.youtube.com/channel/UCg7YNHS1ld_LBCupWa1I_AQ
29,-o7jbSVKsgX53b10fpxvtw,-o7jbSVKsgX53b10fpxvtw,3320000,https://www.youtube.com/@-o7jbSVKsgX53b10fpxvtw
30,gakkutv,gakkutv,3300000,https://www.youtube.com/@gakkutv
31,UCkxnHMWZTNpen20Tw5fUY7w,UCkxnHMWZTNpen20Tw5fUY7w,3260000,https://www.youtube.com/channel/UCkxnHMWZTNpen20Tw5fUY7w
32,UC32velEjgFxI08yXZOD22dg,UC32velEjgFxI08yXZOD22dg,3140000,https://www.youtube.com/channel/UC32velEjgFxI08yXZOD22dg
33,UCsclzRe9WWsQZq0BL9H5OmQ,UCsclzRe9WWsQZq0BL9H5OmQ,3090000,https://www.youtube.com/channel/UCsclzRe9WWsQZq0BL9H5OmQ
34,UCSe205FNpC0TS4DPm---9fw,UCSe205FNpC0TS4DPm---9fw,3060000,https://www.youtube.com/channel/UCSe205FNpC0TS4DPm---9fw
35,UCRc21BeZykbSUHZDGRvi5zQ,UCRc21BeZykbSUHZDGRvi5zQ,2990000,https://www.youtube.com/channel/UCRc21BeZykbSUHZDGRvi5zQ
36,UCVPst_iSyaVYpuOP4ogRhlw,UCVPst_iSyaVYpuOP4ogRhlw,2970000,https://www.youtube.com/channel/UCVPst_iSyaVYpuOP4ogRhlw
37,UC3fkxwGwkRCbdggeDihHY0A,UC3fkxwGwkRCbdggeDihHY0A,2950000,https://www.youtube.com/channel/UC3fkxwGwkRCbdggeDihHY0A
38,UCH5KHzRe9tpp-JyJ92C31og,UCH5KHzRe9tpp-JyJ92C31og,2890000,https://www.youtube.com/channel/UCH5KHzRe9tpp-JyJ92C31og
39,UC9Zxu2GxtUFWcdhC3MI3HIw,UC9Zxu2GxtUFWcdhC3MI3HIw,2800000,https://www.youtube.com/channel/UC9Zxu2GxtUFWcdhC3MI3HIw
40,UCsgnWX-HU2BIS7B-QMzPcfQ,UCsgnWX-HU2BIS7B-QMzPcfQ,2760000,https://www.youtube.com/channel/UCsgnWX-HU2BIS7B-QMzPcfQ
41,UCFCXy9wI17SeBeT5wI6fEJQ,UCFCXy9wI17SeBeT5wI6fEJQ,2750000,https://www.youtube.com/channel/UCFCXy9wI17SeBeT5wI6fEJQ
42,UCS-kRm9CJWtxze3IfVoM0lQ,UCS-kRm9CJWtxze3IfVoM0lQ,2620000,https://www.youtube.com/channel/UCS-kRm9CJWtxze3IfVoM0lQ
43,UCOBv083-6jYmwUVp_VUPolA,UCOBv083-6jYmwUVp_VUPolA,2580000,https://www.youtube.com/channel/UCOBv083-6jYmwUVp_VUPolA
44,UCGBxbj_RMKB22rhJnK9qReg,UCGBxbj_RMKB22rhJnK9qReg,2560000,https://www.youtube.com/channel/UCGBxbj_RMKB22rhJnK9qReg
45,mAdTZBOZqq5C9KAWTV94SQ,mAdTZBOZqq5C9KAWTV94SQ,2460000,https://www.youtube.com/@mAdTZBOZqq5C9KAWTV94SQ
46,UCjtl3qupzlaM2xnAUnWneYg,UCjtl3qupzlaM2xnAUnWneYg,2450000,https://www.youtube.com/channel/UCjtl3qupzlaM2xnAUnWneYg
47,UC1YDCG3_c117T9WRZ-cYsrQ,UC1YDCG3_c117T9WRZ-cYsrQ,2420000,https://www.youtube.com/channel/UC1YDCG3_c117T9WRZ-cYsrQ
48,UCaw7Fey3ZndmRKkwh5fogOA,UCaw7Fey3ZndmRKkwh5fogOA,2360000,https://www.youtube.com/channel/UCaw7Fey3ZndmRKkwh5fogOA
49,UCyqaWBh7wGv7IUS5UeLz67A,UCyqaWBh7wGv7IUS5UeLz67A,2330000,https://www.youtube.com/channel/UCyqaWBh7wGv7IUS5UeLz67A
50,UCmGjRgBGNWDWLStSHVUPO1Q,UCmGjRgBGNWDWLStSHVUPO1Q,2330000,https://www.youtube.com/channel/UCmGjRgBGNWDWLStSHVUPO1Q
51,UCr05Bw0cET7Ox80IFfhaFwA,UCr05Bw0cET7Ox80IFfhaFwA,2310000,https://www.youtube.com/channel/UCr05Bw0cET7Ox80IFfhaFwA
52,UCy3iVGkgTXEIE3oprDr_lyw,UCy3iVGkgTXEIE3oprDr_lyw,2310000,https://www.youtube.com/channel/UCy3iVGkgTXEIE3oprDr_lyw
53,UCplfHEGaj7KwiVQ75J8VAbQ,UCplfHEGaj7KwiVQ75J8VAbQ,2300000,https://www.youtube.com/channel/UCplfHEGaj7KwiVQ75J8VAbQ
54,IBmJKkBWWwjJcZi0qjKGEA,IBmJKkBWWwjJcZi0qjKGEA,2290000,https://www.youtube.com/@IBmJKkBWWwjJcZi0qjKGEA
55,UCSJKvyZVC0FLiyvo3LeEllg,UCSJKvyZVC0FLiyvo3LeEllg,2280000,https://www.youtube.com/channel/UCSJKvyZVC0FLiyvo3LeEllg
56,2V6FWPzlusFQSXbAVUi3iQ,2V6FWPzlusFQSXbAVUi3iQ,2260000,https://www.youtube.com/@2V6FWPzlusFQSXbAVUi3iQ
57,UCOG4O8wbHAzL61HYWh3j1wg,UCOG4O8wbHAzL61HYWh3j1wg,2250000,https://www.youtube.com/channel/UCOG4O8wbHAzL61HYWh3j1wg
58,UCBvqoz97kJUdX06t3A2ttpw,UCBvqoz97kJUdX06t3A2ttpw,2220000,https://www.youtube.com/channel/UCBvqoz97kJUdX06t3A2ttpw
59,UCORMdfOVXGj-LqIK-4WnFcQ,UCORMdfOVXGj-LqIK-4WnFcQ,2220000,https://www.youtube.com/channel/UCORMdfOVXGj-LqIK-4WnFcQ
60,UCIVgkEL0umn_mrKCz_kM5nA,UCIVgkEL0umn_mrKCz_kM5nA,2190000,https://www.youtube.com/channel/UCIVgkEL0umn_mrKCz_kM5nA
61,UCbS15KQNGgLdEeHHSUDJJcQ,UCbS15KQNGgLdEeHHSUDJJcQ,2170000,https://www.youtube.com/channel/UCbS15KQNGgLdEeHHSUDJJcQ
62,Y3tVpFJ_MKcts8_kO-qWwg,Y3tVpFJ_MKcts8_kO-qWwg,2150000,https://www.youtube.com/@Y3tVpFJ_MKcts8_kO-qWwg
63,h2ku44ACi1h6TlGNF6RKvA,h2ku44ACi1h6TlGNF6RKvA,2150000,https://www.youtube.com/@h2ku44ACi1h6TlGNF6RKvA
64,UC9Eo523Vq0QG-0fJx223Vcg,UC9Eo523Vq0QG-0fJx223Vcg,2140000,https://www.youtube.com/channel/UC9Eo523Vq0QG-0fJx223Vcg
65,UCB3gRtX2gxkocgpWo5HvgOw,UCB3gRtX2gxkocgpWo5HvgOw,2100000,https://www.youtube.com/channel/UCB3gRtX2gxkocgpWo5HvgOw
66,UCSM8OMud7Xi6EgG4GcsoNRA,UCSM8OMud7Xi6EgG4GcsoNRA,2100000,https://www.youtube.com/channel/UCSM8OMud7Xi6EgG4GcsoNRA
67,E2QH8UN7BjtNrN5AHwanyw,E2QH8UN7BjtNrN5AHwanyw,2090000,https://www.youtube.com/@E2QH8UN7BjtNrN5AHwanyw
68,UCSxXoOF9zs25Xw6BcewTQHw,UCSxXoOF9zs25Xw6BcewTQHw,2080000,https://www.youtube.com/channel/UCSxXoOF9zs25Xw6BcewTQHw
69,bA7vTCZkovATXXcgnyEKMA,bA7vTCZkovATXXcgnyEKMA,2070000,https://www.youtube.com/@bA7vTCZkovATXXcgnyEKMA
