Rank,Channel_Handle,Channel_ID,Subscribers,YouTube_Channel_URL
1,UCkwZ4L2z5M_nLHoPtshyJbw,UCkwZ4L2z5M_nLHoPtshyJbw,26300000,https://www.youtube.com/channel/UCkwZ4L2z5M_nLHoPtshyJbw
2,UCgFFMzzYIYYn3T6M-v8Kfsw,UCgFFMzzYIYYn3T6M-v8Kfsw,6800000,https://www.youtube.com/channel/UCgFFMzzYIYYn3T6M-v8Kfsw
3,UCr9I57NXoDZukyDIpJNierQ,UCr9I57NXoDZukyDIpJNierQ,6100000,https://www.youtube.com/channel/UCr9I57NXoDZukyDIpJNierQ
4,UCOoFVJgMmJ0iyinY1irgbWg,UCOoFVJgMmJ0iyinY1irgbWg,5620000,https://www.youtube.com/channel/UCOoFVJgMmJ0iyinY1irgbWg
5,MELOMANUMG,MELOMANUMG,3840000,https://www.youtube.com/@MELOMANUMG
6,UCoVCE-9Lqkwv0mq9iwtStqw,UCoVCE-9Lqkwv0mq9iwtStqw,2570000,https://www.youtube.com/channel/UCoVCE-9Lqkwv0mq9iwtStqw
7,uQsXgtPrppIkSE7GWjp7HA,uQsXgtPrppIkSE7GWjp7HA,2490000,https://www.youtube.com/@uQsXgtPrppIkSE7GWjp7HA
8,UCiBPL3BTQXS3JGVBSKDUZvw,UCiBPL3BTQXS3JGVBSKDUZvw,2430000,https://www.youtube.com/channel/UCiBPL3BTQXS3JGVBSKDUZvw
9,UCJEdqOhpTEtHf246ri8vkrw,UCJEdqOhpTEtHf246ri8vkrw,2130000,https://www.youtube.com/channel/UCJEdqOhpTEtHf246ri8vkrw
10,UCuQpGUi-sUp8Zf7zGOBKO4A,UCuQpGUi-sUp8Zf7zGOBKO4A,2100000,https://www.youtube.com/channel/UCuQpGUi-sUp8Zf7zGOBKO4A
11,UChsZtadN_SZixZ7P7gfE7Lg,UChsZtadN_SZixZ7P7gfE7Lg,2090000,https://www.youtube.com/channel/UChsZtadN_SZixZ7P7gfE7Lg
12,UCybkCwpJ1-ruyt8IBEXGTPg,UCybkCwpJ1-ruyt8IBEXGTPg,1940000,https://www.youtube.com/channel/UCybkCwpJ1-ruyt8IBEXGTPg
13,UCh8bxfwmXZ_HvUrsr6A0Ung,UCh8bxfwmXZ_HvUrsr6A0Ung,1940000,https://www.youtube.com/channel/UCh8bxfwmXZ_HvUrsr6A0Ung
14,UCioyV30FpWr-vHtK-KkF1ow,UCioyV30FpWr-vHtK-KkF1ow,1940000,https://www.youtube.com/channel/UCioyV30FpWr-vHtK-KkF1ow
15,UCntgDOQbHT6rDu6rm8SjFRg,UCntgDOQbHT6rDu6rm8SjFRg,1910000,https://www.youtube.com/channel/UCntgDOQbHT6rDu6rm8SjFRg
16,UCPEzx2VX_13te4ygbeX7L4Q,UCPEzx2VX_13te4ygbeX7L4Q,1900000,https://www.youtube.com/channel/UCPEzx2VX_13te4ygbeX7L4Q
17,UC8QRYOsdxNqnGsvkt1zOmFg,UC8QRYOsdxNqnGsvkt1zOmFg,1660000,https://www.youtube.com/channel/UC8QRYOsdxNqnGsvkt1zOmFg
18,UCny9EBn5uuj0iV7aclXYyqQ,UCny9EBn5uuj0iV7aclXYyqQ,1470000,https://www.youtube.com/channel/UCny9EBn5uuj0iV7aclXYyqQ
19,UCa_nhHgBQK_GmvPWdqfJNIg,UCa_nhHgBQK_GmvPWdqfJNIg,1420000,https://www.youtube.com/channel/UCa_nhHgBQK_GmvPWdqfJNIg
20,UC5gLw06s_rUoYRTTJP6sI-g,UC5gLw06s_rUoYRTTJP6sI-g,1360000,https://www.youtube.com/channel/UC5gLw06s_rUoYRTTJP6sI-g
21,UCkFNKjZcJ9lqlR0iGfdekgw,UCkFNKjZcJ9lqlR0iGfdekgw,1350000,https://www.youtube.com/channel/UCkFNKjZcJ9lqlR0iGfdekgw
22,UChOzIxkjBCktJHWF_xPhAQA,UChOzIxkjBCktJHWF_xPhAQA,1260000,https://www.youtube.com/channel/UChOzIxkjBCktJHWF_xPhAQA
23,UCo4D7W3pse7FR_u5Qw8GrXA,UCo4D7W3pse7FR_u5Qw8GrXA,1210000,https://www.youtube.com/channel/UCo4D7W3pse7FR_u5Qw8GrXA
24,UC7zmbRan0qwaIi8H1ItO4mg,UC7zmbRan0qwaIi8H1ItO4mg,1160000,https://www.youtube.com/channel/UC7zmbRan0qwaIi8H1ItO4mg
25,UCaum_U0ZYieqtuysg1kmakA,UCaum_U0ZYieqtuysg1kmakA,1110000,https://www.youtube.com/channel/UCaum_U0ZYieqtuysg1kmakA
26,UC1Co9mgjNPEeC-E8WOC7xyQ,UC1Co9mgjNPEeC-E8WOC7xyQ,1090000,https://www.youtube.com/channel/UC1Co9mgjNPEeC-E8WOC7xyQ
27,UCHDVQt1IRbaOlXF6ghEWjLQ,UCHDVQt1IRbaOlXF6ghEWjLQ,1050000,https://www.youtube.com/channel/UCHDVQt1IRbaOlXF6ghEWjLQ
28,eltorro64rus,eltorro64rus,999000,https://www.youtube.com/@eltorro64rus
29,UCG_TxCGch9ZrnpIYbAlRkzQ,UCG_TxCGch9ZrnpIYbAlRkzQ,993000,https://www.youtube.com/channel/UCG_TxCGch9ZrnpIYbAlRkzQ
30,teleimedi2012,teleimedi2012,971000,https://www.youtube.com/@teleimedi2012
31,UCLC3ZHA5msljJu6S0auMXtw,UCLC3ZHA5msljJu6S0auMXtw,942000,https://www.youtube.com/channel/UCLC3ZHA5msljJu6S0auMXtw
32,UCCevM0Aamcz9aTDhHbPhaRg,UCCevM0Aamcz9aTDhHbPhaRg,928000,https://www.youtube.com/channel/UCCevM0Aamcz9aTDhHbPhaRg
33,UCopxZJuMonau9yOtZSAge4g,UCopxZJuMonau9yOtZSAge4g,900000,https://www.youtube.com/channel/UCopxZJuMonau9yOtZSAge4g
34,UCIqAJTpEBro_7CiiB5m_g_g,UCIqAJTpEBro_7CiiB5m_g_g,886000,https://www.youtube.com/channel/UCIqAJTpEBro_7CiiB5m_g_g
35,UCxVgS78ar4N6EO3NzdGizfA,UCxVgS78ar4N6EO3NzdGizfA,877000,https://www.youtube.com/channel/UCxVgS78ar4N6EO3NzdGizfA
36,UCs4B6lNEj2z0MWwU7O6oWgw,UCs4B6lNEj2z0MWwU7O6oWgw,811000,https://www.youtube.com/channel/UCs4B6lNEj2z0MWwU7O6oWgw
37,UCP21JCUbs32j3wU3sxWIojg,UCP21JCUbs32j3wU3sxWIojg,766000,https://www.youtube.com/channel/UCP21JCUbs32j3wU3sxWIojg
38,UC7ixRMXRgaLBp4VRUR1INWg,UC7ixRMXRgaLBp4VRUR1INWg,730000,https://www.youtube.com/channel/UC7ixRMXRgaLBp4VRUR1INWg
39,UCCUooYQeZmSbSpEMMTpeQdw,UCCUooYQeZmSbSpEMMTpeQdw,717000,https://www.youtube.com/channel/UCCUooYQeZmSbSpEMMTpeQdw
40,MYjEz8tud01-K-3DgRUUWg,MYjEz8tud01-K-3DgRUUWg,701000,https://www.youtube.com/@MYjEz8tud01-K-3DgRUUWg
41,UC1eUQw-EBh62QSElUEfxjJg,UC1eUQw-EBh62QSElUEfxjJg,695000,https://www.youtube.com/channel/UC1eUQw-EBh62QSElUEfxjJg
