Rank,Channel_Handle,Channel_ID,Subscribers,YouTube_Channel_URL
1,UCtDfOTQrViF9NlbPC4oA-yQ,UCtDfOTQrViF9NlbPC4oA-yQ,47900,https://www.youtube.com/channel/UCtDfOTQrViF9NlbPC4oA-yQ
2,UC_3xT_exTBkEmaBcvKAHCHA,UC_3xT_exTBkEmaBcvKAHCHA,8220,https://www.youtube.com/channel/UC_3xT_exTBkEmaBcvKAHCHA
3,evteam,evteam,5480,https://www.youtube.com/@evteam
4,UCZgmxqY8V8GAisSPqEJ0yfg,UCZgmxqY8V8GAisSPqEJ0yfg,5350,https://www.youtube.com/channel/UCZgmxqY8V8GAisSPqEJ0yfg
5,SanMarinoSymphony,SanMarinoSymphony,4850,https://www.youtube.com/@SanMarinoSymphony
6,UCUkC3Gqi8nIeiKsvtDE-KEw,UCUkC3Gqi8nIeiKsvtDE-KEw,4050,https://www.youtube.com/channel/UCUkC3Gqi8nIeiKsvtDE-KEw
7,UC29qpXwMrcgeQBNswQ43GEw,UC29qpXwMrcgeQBNswQ43GEw,3290,https://www.youtube.com/channel/UC29qpXwMrcgeQBNswQ43GEw
8,UCoS302ej6sDSYEnkMhwH1mw,UCoS302ej6sDSYEnkMhwH1mw,3150,https://www.youtube.com/channel/UCoS302ej6sDSYEnkMhwH1mw
9,UCOjFpE6629mK0X2Pkgk8uew,UCOjFpE6629mK0X2Pkgk8uew,2480,https://www.youtube.com/channel/UCOjFpE6629mK0X2Pkgk8uew
10,UC8fciGvL455oWH_i69rWebg,UC8fciGvL455oWH_i69rWebg,1870,https://www.youtube.com/channel/UC8fciGvL455oWH_i69rWebg
11,UCwuuBWxjl1kH1DfRId6ab5A,UCwuuBWxjl1kH1DfRId6ab5A,1600,https://www.youtube.com/channel/UCwuuBWxjl1kH1DfRId6ab5A
12,UCnFn4qD2nYj-lNsbcxEyl2A,UCnFn4qD2nYj-lNsbcxEyl2A,1560,https://www.youtube.com/channel/UCnFn4qD2nYj-lNsbcxEyl2A
13,UC2BkdtruJzyXC_Z1FW7ydaw,UC2BkdtruJzyXC_Z1FW7ydaw,1500,https://www.youtube.com/channel/UC2BkdtruJzyXC_Z1FW7ydaw
14,UC0rszbpYdDDShmJ5bTRLV2w,UC0rszbpYdDDShmJ5bTRLV2w,1420,https://www.youtube.com/channel/UC0rszbpYdDDShmJ5bTRLV2w
