Rank,Channel_Handle,Channel_ID,Subscribers,YouTube_Channel_URL
1,bradesco,bradesco,4570000,https://www.youtube.com/@bradesco
2,AngelBrokingVideos,AngelBrokingVideos,3620000,https://www.youtube.com/@AngelBrokingVideos
3,UCWHCXSKASuSzao_pplQ7SPw,UCWHCXSKASuSzao_pplQ7SPw,2920000,https://www.youtube.com/channel/UCWHCXSKASuSzao_pplQ7SPw
4,TheOfficialSBI,TheOfficialSBI,2560000,https://www.youtube.com/@TheOfficialSBI
5,UCw5TLrz3qADabwezTEcOmgQ,UCw5TLrz3qADabwezTEcOmgQ,2370000,https://www.youtube.com/channel/UCw5TLrz3qADabwezTEcOmgQ
6,Pbhr02AfVb2nd5pm12BxTw,Pbhr02AfVb2nd5pm12BxTw,2010000,https://www.youtube.com/@Pbhr02AfVb2nd5pm12BxTw
7,UChneGqGy_lmvfcR1v_avL6g,UChneGqGy_lmvfcR1v_avL6g,1960000,https://www.youtube.com/channel/UChneGqGy_lmvfcR1v_avL6g
8,UChBT5TlUeG68PKvJSg6MkqQ,UChBT5TlUeG68PKvJSg6MkqQ,1880000,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
9,geico,geico,1860000,https://www.youtube.com/@geico
10,bancoitau,bancoitau,1540000,https://www.youtube.com/@bancoitau
11,moneycontrol,moneycontrol,1450000,https://www.youtube.com/@moneycontrol
12,Trading212,Trading212,1290000,https://www.youtube.com/@Trading212
13,UCv8vYfhw7Xj0Zmh6Xm42Mow,UCv8vYfhw7Xj0Zmh6Xm42Mow,1290000,https://www.youtube.com/channel/UCv8vYfhw7Xj0Zmh6Xm42Mow
14,bancodobrasil,bancodobrasil,1250000,https://www.youtube.com/@bancodobrasil
15,iciciprudentialamc,iciciprudentialamc,1230000,https://www.youtube.com/@iciciprudentialamc
16,UCVNcRXxyCSyzVUKp0IxCNTw,UCVNcRXxyCSyzVUKp0IxCNTw,1190000,https://www.youtube.com/channel/UCVNcRXxyCSyzVUKp0IxCNTw
17,UCREjSTFcjv3TMm6DcQcu1yg,UCREjSTFcjv3TMm6DcQcu1yg,1120000,https://www.youtube.com/channel/UCREjSTFcjv3TMm6DcQcu1yg
18,UCXcPmSjgThvZ5U69Z3B8tlQ,UCXcPmSjgThvZ5U69Z3B8tlQ,1110000,https://www.youtube.com/channel/UCXcPmSjgThvZ5U69Z3B8tlQ
19,santanderbrasil,santanderbrasil,1000000,https://www.youtube.com/@santanderbrasil
20,rksvindia,rksvindia,974000,https://www.youtube.com/@rksvindia
21,UCE5Uu3nZlVbTur6xwhdoKhg,UCE5Uu3nZlVbTur6xwhdoKhg,807000,https://www.youtube.com/channel/UCE5Uu3nZlVbTur6xwhdoKhg
22,UCdf14FHPLt7omkE9CmyrVHA,UCdf14FHPLt7omkE9CmyrVHA,650000,https://www.youtube.com/channel/UCdf14FHPLt7omkE9CmyrVHA
23,UC59YUBhNLMkS2Q8NBWBGHAA,UC59YUBhNLMkS2Q8NBWBGHAA,645000,https://www.youtube.com/channel/UC59YUBhNLMkS2Q8NBWBGHAA
24,UCXDY2FHLmmMQ2dacN9Jb8mA,UCXDY2FHLmmMQ2dacN9Jb8mA,591000,https://www.youtube.com/channel/UCXDY2FHLmmMQ2dacN9Jb8mA
25,UCeg5BUPvgkjJJTp0bsBAytg,UCeg5BUPvgkjJJTp0bsBAytg,578000,https://www.youtube.com/channel/UCeg5BUPvgkjJJTp0bsBAytg
